icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
EDENLM,ELM250,Edelweiss Nif Largemid 250 Etf,EQ,INF754K01VV4,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDENMC,EMULTIMQ,Edelweiss Nft500 Mcapmom50 Etf,EQ,INF754K01TF1,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDESIL,ESILVER,Edelweiss Silver Etf,EQ,INF754K01SF3,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDSERV,EDSERV,Edserv Softsystems Limited,BE,INE889J01019,Edserv Softsystems Group,corporate_group_repository.xlsx,IT EDUCATION,nse_getSymbolData.basicIndustry,,IT,IT,SOFTWARE,IT EDUCATION
EICHER,EICHER,Eicher Limited,BE,INE065A01023,,,,,,,,,
EICMOT,EICHERMOT,Eicher Motors Ltd,EQ,INE066A01021,Eicher Group,corporate_group_repository.xlsx,Automobile and Auto Components,ind_niftytotalmarket_list.csv,Eicher Motors Ltd.,,,,
EIDPAR,EIDPARRY,Eid Parry (India) Ltd,EQ,INE126A01031,Murugappa Group,corporate_group_repository.xlsx,Fast Moving Consumer Goods,ind_niftytotalmarket_list.csv,E.I.D. Parry (India) Ltd.,,,,
EIDTEL,EIDERTELE,Eider Infotech Limited,EQ,INE210B01015,,,,,,,,,
EIHASS,EIHAHOTELS,Eih Associated Hotels Limited,EQ,INE276C01014,Oberoi Group,corporate_group_repository.xlsx,Hotels & Resorts,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
EIHLIM,EIHOTEL,Eih Limited,EQ,INE230A01023,Oberoi Group,corporate_group_repository.xlsx,Consumer Services,ind_niftytotalmarket_list.csv,EIH Ltd.,,,,
EIHRE1,EIH-RE,Eih Ltd Rights Entitlements,BE,INE230A20015,Oberoi Group,corporate_group_repository.xlsx,HOTELS/RESORTS,nse_getSymbolData.basicIndustry,,SERVICES,SERVICES,HOTELS/ RESORTS AND OTHER RECREATIONAL ACTIVITIES,HOTELS/RESORTS
EIMELE,EIMCOELECO,Eimco Elecon India Ltd,EQ,INE158B01016,Elecon Group,corporate_group_repository.xlsx,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
ELAAPP,ELAND,E-Land Apparel Limited,EQ,INE311H01018,E Land (F) Group,corporate_group_repository.xlsx,FABRICS AND GARMENTS,nse_getSymbolData.basicIndustry,,CONSUMER,TEXTILES,TEXTILE PRODUCTS,FABRICS AND GARMENTS
ELABEC,DRBECK,Elantas Beck India Ltd,EQ,INE280B01018,Altana (F) Group,corporate_group_repository.xlsx,,,,,,,
ELDHOU,ELDEHSG,Eldeco Housing & Ind Ltd,EQ,INE668G01021,Eldeco Group,corporate_group_repository.xlsx,Residential Commercial Projects,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
ELDPHA,ELDERPHARM,Elder Pharmaceuticals Limited,BE,INE975A01015,Elder Group,corporate_group_repository.xlsx,,,,,,,
ELECAS,ELECTCAST,Electrosteel Castings Ltd,EQ,INE086A01029,Srikalahasti Pipes Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,Electrosteel Castings Ltd.,,,,
ELEENG,ELECON,Elecon Engineering Coltd,EQ,INE205B01031,,,Capital Goods,ind_niftytotalmarket_list.csv,Elecon Engineering Co. Ltd.,,,,
ELEIN,ELECTHERM,Electrotherm (India) Limited,EQ,INE822G01016,Electrotherm Group,corporate_group_repository.xlsx,Iron & Steel Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ELEMA,EMIL,Electronics Mart India Limited,EQ,INE02YR01019,Bajaj Electronics Group,corporate_group_repository.xlsx,Consumer Services,ind_niftytotalmarket_list.csv,Electronics Mart India Ltd.,,,,
ELESTE,ELECTROSL,Electrosteel Steels Limited,BE,INE481K01021,Vedanta Group,corporate_group_repository.xlsx,STEEL PRODUCTS,nse_getSymbolData.basicIndustry,,COMMODITIES,METALS,FERROUS METALS,STEEL PRODUCTS
ELGEQU,ELGIEQUIP,Elgi Equipments Ltd,EQ,INE285A01027,Elgi Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,Elgi Equipments Ltd.,,,,
ELGRUB,ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012,Elgi Group,corporate_group_repository.xlsx,Rubber,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Rubber
ELGTYR,ELGIRUBBER,Elgitread (India) Limited,EQ,INE257B01024,,,TYRES & ALLIED,nse_getSymbolData.basicIndustry,,MANUFACTURING,AUTOMOBILE,AUTO ANCILLARIES,TYRES & ALLIED
ELIELE,ELIN,Elin Electronics Limited,EQ,INE050401020,Elin group,corporate_group_repository.xlsx,Household Appliances,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
ELLIND,ELLEN,Ellenbarrie Industrial Gases L,EQ,INE236E01022,,,Chemicals,ind_NiftySmallcap500_list.csv,Ellenbarrie Industrial Gases Ltd.,,,,
